sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:40";;;;;
"Export UTC date";"2024-12-29T09:16:40.489Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/17/2024 07.30 PM";"0";"3,709";"3,879";"170";"0";"0"
"11/17/2024 07.45 PM";"0";"91";"259";"169";"0";"0"
"11/17/2024 08.00 PM";"0";"118";"286";"168";"0";"0"
"11/17/2024 08.15 PM";"0";"161";"371";"210";"0";"0"
"11/17/2024 08.30 PM";"0";"131";"386";"255";"0";"0"
"11/17/2024 08.45 PM";"0";"89";"505";"416";"0";"0"
"11/17/2024 09.00 PM";"0";"121";"555";"434";"0";"0"
"11/17/2024 09.15 PM";"0";"163";"592";"429";"0";"0"
"11/17/2024 09.30 PM";"0";"130";"555";"425";"0";"0"
"11/17/2024 09.45 PM";"0";"90";"421";"331";"0";"0"
"11/17/2024 10.00 PM";"0";"1,418";"1,722";"304";"0";"0"
"11/17/2024 10.15 PM";"0";"3,863";"4,176";"313";"0";"0"
"11/17/2024 10.30 PM";"0";"4,073";"4,363";"291";"0";"0"
"11/17/2024 10.45 PM";"0";"4,190";"4,469";"279";"0";"0"
"11/17/2024 11.00 PM";"0";"4,303";"4,581";"278";"0";"0"
"11/17/2024 11.15 PM";"0";"463";"772";"309";"0";"0"
"11/17/2024 11.30 PM";"0";"89";"402";"313";"0";"0"
"11/17/2024 11.45 PM";"0";"154";"455";"301";"0";"0"
"11/18/2024 12.00 AM";"0";"162";"467";"305";"0";"0"
"11/18/2024 12.15 AM";"0";"94";"388";"294";"0";"0"
"11/18/2024 12.30 AM";"0";"90";"381";"291";"0";"0"
"11/18/2024 12.45 AM";"0";"158";"450";"292";"0";"0"
"11/18/2024 01.00 AM";"0";"164";"340";"175";"0";"0"
"11/18/2024 01.15 AM";"0";"898";"986";"88";"0";"0"
"11/18/2024 01.30 AM";"0";"4,319";"4,417";"98";"0";"0"
"11/18/2024 01.45 AM";"0";"5,850";"5,951";"101";"0";"0"
"11/18/2024 02.00 AM";"0";"6,101";"6,202";"101";"0";"0"
"11/18/2024 02.15 AM";"0";"644";"709";"65";"0";"0"
"11/18/2024 02.30 AM";"0";"88";"192";"104";"0";"0"
"11/18/2024 02.45 AM";"0";"153";"330";"177";"0";"0"
"11/18/2024 03.00 AM";"0";"161";"333";"172";"0";"0"
"11/18/2024 03.15 AM";"0";"2,034";"2,213";"179";"0";"0"
"11/18/2024 03.30 AM";"0";"4,174";"4,356";"183";"0";"0"
"11/18/2024 03.45 AM";"0";"569";"722";"153";"0";"0"
"11/18/2024 04.00 AM";"0";"88";"248";"160";"0";"0"
"11/18/2024 04.15 AM";"0";"150";"252";"102";"0";"0"
"11/18/2024 04.30 AM";"0";"160";"241";"81";"0";"0"
"11/18/2024 04.45 AM";"0";"2,125";"2,219";"94";"0";"0"
"11/18/2024 05.00 AM";"0";"4,164";"4,263";"99";"0";"0"
"11/18/2024 05.15 AM";"0";"665";"742";"77";"0";"0"
"11/18/2024 05.30 AM";"0";"87";"169";"81";"0";"0"
"11/18/2024 05.45 AM";"0";"148";"230";"82";"0";"0"
"11/18/2024 06.00 AM";"0";"413";"576";"163";"0";"0"
"11/18/2024 06.15 AM";"0";"3,563";"3,750";"187";"0";"0"
"11/18/2024 06.30 AM";"0";"3,848";"4,035";"187";"0";"0"
"11/18/2024 06.45 AM";"0";"91";"381";"290";"0";"0"
"11/18/2024 07.00 AM";"0";"95";"498";"403";"0";"0"
"11/18/2024 07.15 AM";"0";"158";"480";"322";"0";"0"
"11/18/2024 07.30 AM";"0";"252";"1,247";"995";"0";"0"
"11/18/2024 07.45 AM";"0";"3,398";"3,753";"356";"0";"0"
"11/18/2024 08.00 AM";"0";"4,244";"4,603";"359";"0";"0"
"11/18/2024 08.15 AM";"0";"407";"636";"229";"0";"0"
"11/18/2024 08.30 AM";"0";"87";"499";"412";"79";"79"
"11/18/2024 08.45 AM";"0";"153";"351";"197";"212";"212"
"11/18/2024 09.00 AM";"0";"161";"312";"151";"179";"179"
"11/18/2024 09.15 AM";"0";"91";"265";"175";"277";"277"
"11/18/2024 09.30 AM";"0";"694";"868";"175";"313";"313"
"11/18/2024 09.45 AM";"0";"3,783";"3,966";"183";"503";"503"
"11/18/2024 10.00 AM";"0";"4,279";"4,460";"181";"420";"420"
"11/18/2024 10.15 AM";"0";"253";"410";"157";"427";"427"
"11/18/2024 10.30 AM";"0";"87";"242";"156";"590";"590"
"11/18/2024 10.45 AM";"0";"156";"239";"83";"721";"721"
"11/18/2024 11.00 AM";"0";"161";"247";"86";"673";"673"
"11/18/2024 11.15 AM";"0";"88";"169";"81";"655";"655"
"11/18/2024 11.30 AM";"0";"1,112";"1,205";"94";"639";"639"
"11/18/2024 11.45 AM";"0";"3,886";"3,983";"97";"580";"580"
"11/18/2024 12.00 PM";"0";"2,070";"2,149";"79";"746";"746"
"11/18/2024 12.15 PM";"0";"89";"173";"84";"703";"703"
"11/18/2024 12.30 PM";"0";"125";"209";"85";"682";"682"
"11/18/2024 12.45 PM";"0";"159";"295";"136";"613";"613"
"11/18/2024 01.00 PM";"0";"119";"293";"174";"544";"544"
"11/18/2024 01.15 PM";"0";"3,086";"3,273";"186";"637";"637"
